"wals","FAM","GEN","SUBGEN","OID_","Language","Population","Latitude","Longitude","Genus","Family","alt","bio1","bio4","bio12","bio17","X100alt","X100bio1","X100bio4","X100bio12","X100bio17","X500alt","X500bio1","X500bio4","X500bio12","X500bio17","ID","ISO.code","Language.1","Family.1","Region","Autotyp.area","Coordinates"
"krj","Pama-Nyungan","South-West","Marngu",172,"Maybrat",20000,-1.33,132.5,214101,214,403,251,413,3235,666,417.71,250.28,432.47,3128.53,610.83,272.95,256.02,533.57,2781.98,522.84,172,"gbd ","Karajarri ","Pama-Nyungan ","Australia ","Northern Australia ","-18.5, 122.5"
"mbb","Pama-Nyungan","Paman","FinasleighPama",173,"Mbabaram",0,-17.17,145,110102,110,516,227,2664,1114,28,535.92,226.86,2673.94,1269.42,49.51,265.45,247.12,3150.4,951.13,24.27,173,"wua ","Kuku Nganhcara ","Pama-Nyungan ","Australia ","Northern Australia ","-14.42, 142"
"kya","Pama-Nyungan","Yalandyic","Yalandyic",174,"Mixe(Totontepec)",5470,17.25,-96,164101,164,2158,144,1139,2013,125,1085.34,205.79,1698.12,1759.7,94.43,991.53,220.04,1707.12,1503.22,77.71,174,"gvn ","Kuku Yalanji ","Pama-Nyungan ","Australia ","Northern Australia ","-16, 145"
"kuu","Pama-Nyungan","Paman","CompromiseMiddlePama",175,"Moghol",0,35,62,105102,105,1025,146,8423,293,0,955.71,149.34,8473.79,281.85,0.08,1083.26,143.01,8790.11,208.62,1.03,175,"kuy ","Kuuku-Ya'u ","Pama-Nyungan ","Australia ","Northern Australia ","-12.583, 143.083"
"kha","Mongolic","EasternMongolic","Oirat-Khalkha",176,"Khalkha",2373260,47,105,105102,105,1331,8,13177,208,6,1422.63,3.53,13089.1,216.91,5.92,1400.77,4.14,13139.7,247.26,8.55,176,"xxx-18 ","Madimadi ","Pama-Nyungan ","Australia ","Australia ","-34.5, 143.5"
"mny","Pama-Nyungan","GreaterMaric","Guwa-Maric",177,"Mangghuer",152000,36,102,105102,105,2459,55,8284,437,7,3070.9,21.74,7938.4,478.62,7.96,2952.55,26.14,8575.07,425.9,9.17,177,"zmc ","Margany ","Pama-Nyungan ","Australia ","Australia ","-26.5, 145"
"mrt","Pama-Nyungan","South-West","Ngayarda",178,"Movima",1450,-13.83,-65.67,165101,165,148,259,989,1582,98,150.36,259.32,1113.71,1604.33,106.83,671.33,234.2,1210.34,1674.52,118.34,178,"vma ","Martuthunira ","Pama-Nyungan ","Australia ","Australia ","-20.833, 116.5"
"mrw","Pama-Nyungan","Muruwaric","Muruwaric",179,"Mundari",1120280,23,84.67,111102,111,550,244,4795,1458,33,550.52,243.53,4788.37,1347.22,26.19,251.78,256.42,4665.73,1250.79,25.56,179,"zmu ","Muruwari ","Pama-Nyungan ","Australia ","Australia ","-29, 146.75"
"ntj","Pama-Nyungan","South-West","Wati",180,"Murrinh-Patha",1830,-14.67,129.67,110112,110,46,281,2710,1012,3,74.92,278.67,2755.82,1014.8,4.55,213.63,269.85,3208.45,915.09,9.47,180,"ntj ","Ngaanyatjarra ","Pama-Nyungan ","Australia ","Australia ","-26, 126.5"
"ngj","Pama-Nyungan","South-West","Mirning",181,"Nahuatl(North)",60000,20,-98.25,208105,208,2589,131,1751,665,37,2010.68,157.32,2111.98,1110.18,70,1267.72,207.32,2222.08,1080.16,49.24,181,"nju ","Ngadjunmaya ","Pama-Nyungan ","Australia ","Australia ","-32, 123.5"
"ngw","Pama-Nyungan","Paman","Mayabic",182,"Nahuatl(Telcingo)",3500,19.67,-99,208105,208,2246,155,2075,617,24,2485.93,142.96,1843.71,780.49,31.54,1323.61,205.7,2210.07,1037.27,44.87,182,"nxn ","Ngawun ","Pama-Nyungan ","Australia ","Northern Australia ","-19.5, 141.5"
