"wals","FAM","GEN","SUBGEN","OID_","Language","Population","Latitude","Longitude","Genus","Family","alt","bio1","bio4","bio12","bio17","X100alt","X100bio1","X100bio4","X100bio12","X100bio17","X500alt","X500bio1","X500bio4","X500bio12","X500bio17","ID","ISO.code","Language.1","Family.1","Region","Autotyp.area","Coordinates"
"hal","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",317,"Awngi",489000,10.83,36.67,101102,101,2201,166,892,1814,62,1695.32,197.32,1117.33,1599.11,27,1339.63,226.57,1454.19,1014.85,28,317,"hla ","Halia ","Austronesian ","Pacific ","Pacific ","-5.25, 154.75"
"haw","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",318,"Zande",1142000,4,26,171104,171,619,246,657,1702,129,632.2,245.61,658.7,1701.64,126.14,614.32,248.09,729.23,1629.13,128.47,318,"haw ","Hawaiian ","Austronesian ","Pacific ","Pacific ","21, -157"
"iaa","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",319,"Bambara",4072040,12.5,-7.5,171105,171,355,273,2331,917,0,358.32,273.09,2281.71,939.91,0.47,347.98,270.52,2284.79,947.56,7.73,319,"iai ","Iaai ","Austronesian ","Pacific ","Pacific ","-20.417, 166.417"
"idn","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",320,"Barasano(Northern)",1890,0.33,-70.25,204101,204,190,256,480,3163,630,186.83,256.37,490.95,3177.95,606.9,156.24,261.91,578.31,3005.79,479.12,320,"viv ","Iduna ","Austronesian ","Pacific ","South New Guinea ","-9.417, 150.25"
"jab","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",321,"Bawm",15940,22.5,92.25,189101,189,68,259,2795,2595,36,182.3,250.74,2834.67,2702.31,36.26,310.6,242.69,3399.13,2138.63,31.05,321,"jae ","Yabem ","Austronesian ","Pacific ","North New Guinea ","-6.75, 147.833"
"krr","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",322,"Beembe",40000,-3.92,14.08,171101,171,399,242,1290,1386,4,451.67,239.45,1383.21,1461.09,6.44,455.2,243.61,1103.88,1509.92,41.45,322,"kxa ","Kairiru ","Austronesian ","Pacific ","North New Guinea ","-3.417, 143.583"
"bej","Afro-Asiatic","Cushitic","NorthCushitic",323,"Beja",1186000,18,36,101103,101,530,286,3298,92,0,553.04,283.1,3414.07,90.89,0.29,526.43,273.78,3642.24,159.82,2.89,323,"kvc ","KaliaiKove ","Austronesian ","Pacific ","North New Guinea ","-5.667, 149.75"
"kau","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",324,"Berta",209000,10.33,34.67,172113,172,1293,232,1662,1213,4,947.81,249.26,1662.96,1112.87,3.56,978.64,245.83,1452.97,1001.18,20.71,324,"pss ","Kaulong ","Austronesian ","Pacific ","North New Guinea ","-6.25, 150.5"
"kel","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",325,"Bodo",1333300,26.83,92,189103,189,156,240,4175,2083,41,911.81,202.29,4345.67,1878.17,31.77,1909.56,151.16,4711.92,1699.48,30.09,325,"sbc ","Kele ","Austronesian ","Pacific ","North New Guinea ","-2.083, 147.333"
"klv","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",326,"Cacua",400,1.08,-70,119101,119,186,255,478,3427,593,194.95,256.46,515.56,3303.41,565.68,159.19,263.13,613.78,2995.86,445.1,326,"kij ","Kilivila ","Austronesian ","Pacific ","South New Guinea ","-8.5, 151"
"krb","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",327,"Caddo",25,33.33,-93.5,120101,120,88,172,7519,1281,273,88.41,171.91,7544.55,1281.09,269.41,142.33,170.7,7612.56,1237.49,236.73,327,"gil ","Kiribati ","Austronesian ","Pacific ","Pacific ","1.333, 173"
"kkt","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",328,"Cham(Western)",246990,12,105.5,112105,112,14,277,1162,1723,23,29.72,275.48,1170.45,1669.47,37.55,220,260.11,1406.72,1836.81,38.46,328,"kkk ","Kokota ","Austronesian ","Pacific ","Pacific ","-8, 159.25"
"kos","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",329,"Cherokee",10400,35.5,-83.5,146101,146,709,120,7125,1504,317,674.98,123.97,7287.45,1518.23,326.11,292.61,144.02,7600.37,1262.19,255.94,329,"kos ","Kosraean ","Austronesian ","Pacific ","Pacific ","5.3, 163"
"kwa","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",330,"Chipewyan",11900,59,-106,168101,168,306,-41,14812,404,52,362.93,-42.87,14708.4,409.51,52.76,413.71,-45.96,14429.2,406.23,50.55,330,"kwd ","Kwaio ","Austronesian ","Pacific ","Pacific ","-8.917, 161.083"
"len","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",332,"Cubeo",6260,1.33,-70.5,204101,204,209,260,609,3160,457,215.15,259.21,606.7,3141.03,462.57,170.22,263.16,639.11,2955,418.69,332,"tnl ","Lenakel ","Austronesian ","Pacific ","Pacific ","-19.583, 169.083"
"lew","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",333,"Dadibi",10000,-6.55,144.58,195101,195,892,219,591,4208,923,1221.77,203.44,629.47,3838.85,732.21,601.24,237.64,574.59,3084.48,519.49,333,"lww ","Lewo ","Austronesian ","Pacific ","Pacific ","-16.667, 168.333"
"lgu","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",334,"Nishi",230000,27.5,93.5,189106,189,2107,143,4701,1539,35,1253.96,184.09,4598.47,2067.11,47.89,2266.01,130.29,4924.84,1635.69,32.04,334,"lgu ","Longgu ","Austronesian ","Pacific ","Pacific ","-9.75, 160.75"
"lon","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",335,"Dagbani",800000,9.58,-0.5,171106,171,163,278,1628,1120,15,148.82,278.88,1627.38,1116.2,13.92,247.6,272.76,1608.62,1055.18,28.94,335,"los ","Loniu ","Austronesian ","Pacific ","North New Guinea ","-2.1, 147.417"
"lou","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",336,"Dahalo",400,-2.33,40.5,101112,101,21,269,1137,979,66,51.65,267.98,1155.17,748.05,64.55,510.24,249.61,1268.15,643.64,38.04,336,"loj ","Lou ","Austronesian ","Pacific ","North New Guinea ","-2.367, 147.333"
"mae","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",337,"DangalΘat(Western)",60000,12.17,18.33,101109,101,404,291,2641,603,0,410.75,289.1,2638.48,605.15,0,389.09,283.63,2538.06,575.35,0.18,337,"mme ","Emae ","Austronesian ","Pacific ","Pacific ","-17.033, 168.167"
"msn","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",338,"Deti",6000,-20.5,24.5,154101,154,925,219,3878,374,0,932.22,218.89,3883.86,384.28,0.5,1028.03,211.7,3912.41,475,2.23,338,"mbq ","Maisin ","Austronesian ","Pacific ","South New Guinea ","-9.5, 149.167"
"mlu","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",339,"ToroSo",3930,14.42,-3.25,171110,171,420,269,2954,506,0,341.22,275.63,2936.2,489.28,0.13,299.25,281.37,3027.19,491.91,1.31,339,"mgl ","Maleu ","Austronesian ","Pacific ","North New Guinea ","-5.667, 148.333"
"mnm","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",340,"Efik",405260,4.92,8.5,171111,171,43,262,678,2819,136,141.48,259.17,788.61,2763.32,147.41,368.91,253.85,1040.63,1929.03,76.98,340,"mva ","Manam ","Austronesian ","Pacific ","North New Guinea ","-4.083, 145.083"
"mmb","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",341,"Ekari",100000,-3.83,135.5,202106,202,873,222,791,3349,720,665.7,232.31,769,3285.73,680.17,513.05,243.68,564.79,3025.9,604.43,341,"mna ","MangapMbula ","Austronesian ","Pacific ","North New Guinea ","-5.667, 148.083"
"mao","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",342,"Ewe",3112000,6.33,0.42,171102,171,37,273,1121,1101,94,109.14,266.78,1077.6,1169.53,93.73,193,267.62,1275.05,1261.89,58.43,342,"mri ","Maori ","Austronesian ","Pacific ","Pacific ","-39, 176.5"
"msh","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",343,"Fasu",1200,-6.58,143.33,202107,202,599,237,596,4649,1046,1044.64,212.46,635.4,3845.4,790.89,540.75,240.71,575.21,3087.75,532.13,343,"mah ","Marshallese ","Austronesian ","Pacific ","Pacific ","12.5, 162.5"
"mke","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",344,"Fur",501800,13.5,25,172102,172,843,250,3263,335,0,985.69,242.4,3176.54,362.43,0.06,695.77,260.78,2893.72,374.65,0.01,344,"mek ","Mekeo ","Austronesian ","Pacific ","South New Guinea ","-8.5, 146.467"
"mok","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",345,"Fyem",3000,9.58,9.33,171107,171,1088,228,1626,1205,3,749.79,247.08,1644.4,1224.03,3.33,431.83,259.48,1870.99,1160.22,10.83,345,"mkj ","Mokilese ","Austronesian ","Pacific ","Pacific ","6.667, 159.75"
"moa","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",346,"GbeyaBossangoa",200000,6.67,17.5,171104,171,507,259,1376,1390,8,523.68,256.89,1298.04,1364.15,10.2,541.2,253.25,1216.16,1328.38,39.29,346,"mte ","MonoAlu ","Austronesian ","Pacific ","Pacific ","-7.167, 155.917"
"mtu","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",347,"Hadza",800,-3.75,35.17,139101,139,1325,203,1473,707,9,1473.23,199.41,1364.69,782.45,9.01,1193.82,216.83,1156.63,886.86,43.95,347,"meu ","Motu ","Austronesian ","Pacific ","South New Guinea ","-9.5, 147.25"
"msm","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",348,"Hamer",74400,5,36.5,101107,101,894,250,954,568,86,700.47,262.09,929.97,526.5,57.31,1094.15,232.09,954.09,819.57,50.3,348,"msu ","Musom ","Austronesian ","Pacific ","North New Guinea ","-6.5, 146.917"
"mus","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",349,"Hamtai",45000,-7.5,146.25,202102,202,1001,221,610,2546,367,1009.06,218.32,671.56,2574.19,437.05,716.03,230.88,633.72,2978.7,481.74,349,"emi ","Mussau ","Austronesian ","Pacific ","North New Guinea ","-1.5, 149.667"
"mwo","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",350,"Hausa",24988000,12,7,101108,101,577,256,2417,924,0,535.05,258.16,2429.88,905.9,0.13,395.21,270.09,2478.07,781.06,2.49,350,"mlv ","Mwotlap ","Austronesian ","Pacific ","Pacific ","-13.7, 167.63"
"nak","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",351,"Hopi",6780,36,-110,208104,208,1968,101,8268,278,34,1886.39,107.11,8370.06,258.08,32.52,1802.04,106.28,7964.3,351.47,48.06,351,"nak ","Nakanai ","Austronesian ","Pacific ","North New Guinea ","-5.5, 150.833"
"nal","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",352,"Aikanß",180,-12.67,-60.67,109101,109,315,227,608,1778,54,342.15,226.37,633.12,1808.32,53.68,281.9,244.14,911.5,1742.41,57.22,352,"nal ","Nalik ","Austronesian ","Pacific ","North New Guinea ","-2.917, 151.333"
"nbb","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",353,"Huave(SanMateodelMar)",11000,16.22,-95,143101,143,4,275,1353,996,12,344.01,251.44,1430.33,1102.71,27.42,855.96,225.68,1589.52,1705.83,91.19,353,"nmb ","V'ënen_Taut ","Austronesian ","Pacific ","Pacific ","-16.083, 167.25"
"nau","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",354,"Fulni⌠",2930,-8,-37.5,160103,160,562,227,1664,710,32,585.55,227.04,1602.36,661.68,28.48,352.35,245.17,1263.36,764.66,41.12,354,"nau ","Nauru ","Austronesian ","Pacific ","Pacific ","-0.5, 166.917"
"neh","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",355,"Igbo",18000000,6,7.33,171113,171,163,265,1099,1987,61,99.59,267.18,1079.61,1968.2,62.97,303.14,259.64,1192.27,1803.01,56.44,355,"nsn ","Nehan ","Austronesian ","Pacific ","Pacific ","-4.5, 154.167"
"nel","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",356,"Ijo(Kolokuma)",71500,4.92,5.67,171114,171,10,267,897,3289,183,13.53,266.62,909.65,3046.43,163.79,170.69,263.95,1149.03,1844.5,70.71,356,"nee ","Nelemwa ","Austronesian ","Pacific ","Pacific ","-20.25, 164.083"
"nne","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",357,"Ik",10000,3.75,34.17,172103,172,1678,204,1030,759,51,1056.93,241.24,982.42,598.18,44.18,919.39,243.4,935.63,913.41,69.78,357,"nen ","Nengone ","Austronesian ","Pacific ","Pacific ","-21.5, 167.667"
"ngu","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",358,"Iraqw",462000,-4,35.5,101112,101,2233,153,1489,885,13,1422.72,201.01,1469.04,761.54,7.02,1160.06,218.17,1203.41,868.02,40.27,358,"llp ","Nguna ","Austronesian ","Pacific ","Pacific ","-17.5, 168.333"
"niu","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",359,"Zulu",10349100,-30,30,171101,171,1278,154,3026,894,56,1102.72,158.68,3163.45,930.14,61.9,1269.41,158.75,3757.29,754.86,50.59,359,"niu ","Niue ","Austronesian ","Pacific ","Pacific ","-19, -169.5"
"pms","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",360,"Isoko",423000,5.5,6.25,171115,171,19,267,925,2542,110,32.21,266.26,950.14,2555.76,115.28,212.48,263.02,1180.32,1814.79,63.56,360,"pma ","Paamese ","Austronesian ","Pacific ","Pacific ","-16.5, 168.333"
"pat","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",361,"Japanese",122072000,37,140,148101,148,363,114,8359,1459,173,519.47,106.3,8290.84,1568.34,190.27,434.56,109.97,8347.24,1706.77,245.94,361,"ptp ","Patep ","Austronesian ","Pacific ","New Guinea Highlands ","-7, 146.667"
"poh","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",363,"Kalami",100000,35.5,72.5,145102,145,3095,62,8054,663,84,3030.27,62.91,8107.12,725.98,84.72,2629.44,73.95,8601.53,531.4,41.35,363,"pon ","Ponapean ","Austronesian ","Pacific ","Pacific ","6.883, 158.25"
"pul","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",364,"Kanakuru",20000,10,12,101108,101,194,272,2045,878,0,351.7,263.26,2016.86,907.27,0.06,480.37,259.73,2059.26,986.68,3.65,364,"puw ","Puluwat ","Austronesian ","Pacific ","Pacific ","7.333, 149.333"
"rap","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",365,"Kanuri",3240500,12,13,172104,172,335,256,2897,582,0,333.42,259.46,2778.14,584.25,0,366.49,271.09,2745.1,601.33,0.14,365,"rap ","Rapa_Nui ","Austronesian ","Pacific ","Pacific ","-27.333, -110"
"rot","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",366,"Karok",12,41.67,-123,151101,151,1156,84,6140,789,46,1110.73,85.18,5884.14,930.92,48.53,986.57,92.9,5934.72,919.76,52.21,366,"rtm ","Rotuman ","Austronesian ","Pacific ","Pacific ","-12.333, 177"
"rov","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",367,"Kefa",834000,7.25,36.25,101107,101,1927,183,664,1864,183,1700.43,196.42,765.03,1685.53,136.43,1242.57,225.94,1083.04,1001.35,45.57,367,"rug ","Roviana ","Austronesian ","Pacific ","Pacific ","-8.25, 157.333"
"saa","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",368,"Kewa",45000,-6.5,143.83,202109,202,1463,187,591,3226,658,1171.89,204.5,643.86,3962.36,808.28,565.74,239.39,576.91,3081.04,524.95,368,"apb ","Saa ","Austronesian ","Pacific ","Pacific ","-9.5, 161.583"
"sak","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",369,"Khmu'",704000,21,102,111106,111,971,210,2975,1576,64,862.45,215.94,2992.26,1578.93,62.5,900.67,213.05,3290,1475.16,42.9,369,"sku ","Sakao ","Austronesian ","Pacific ","Pacific ","-15, 166.783"
"slb","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",370,"Kiowa",400,37,-99,155101,155,574,141,9370,637,58,551.03,140.96,9401.14,640.45,58.83,617.39,136.48,9159.09,679.67,68.68,370,"sbe ","Saliba ","Austronesian ","Pacific ","South New Guinea ","-10.667, 150.75"
"sam","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",371,"Kisi(Southern)",704000,8.5,-10.25,171118,171,419,254,1192,2538,92,459.97,249.7,1035.17,2495.1,97.08,362.23,257.16,1328.38,1993.76,65.53,371,"smo ","Samoan ","Austronesian ","Pacific ","Pacific ","-14, -172.667"
"sir","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",372,"Kiwai",9700,-8,143.5,156101,156,12,262,962,3287,564,25.31,261.96,935.1,3306.67,563.4,556.18,239.59,646.98,3024.55,494.55,372,"sjr ","Siar ","Austronesian ","Pacific ","North New Guinea ","-5, 153.333"
"sng","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",373,"Koiari",1700,-9.5,147.33,202110,202,15,267,816,1269,136,696.7,231.37,875.25,2163.08,256.81,672.56,232.22,741.54,2836.97,457.15,373,"snc ","Sinaugoro ","Austronesian ","Pacific ","South New Guinea ","-9.833, 147.917"
"sio","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",374,"Konyagi",23670,12.5,-13.25,171109,171,70,275,2238,1321,0,109.59,272.97,2220.52,1335.69,0.25,192.32,272.14,2046.21,1237.88,4.2,374,"xsi ","Sio ","Austronesian ","Pacific ","North New Guinea ","-6, 147.333"
"ktk","Afro-Asiatic","Chadic","Biu-Mandara",375,"Kotoko",16000,11.33,15.33,101111,101,305,283,2363,621,0,312.27,282.27,2373.77,632.26,0,374.91,275.19,2500.83,695.61,0.17,375,"bbq ","Sisiqa ","Austronesian ","Pacific ","Pacific ","-7.133, 157"
"sob","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",376,"Krongo",21700,10.5,30,150101,150,444,278,1599,751,0,474.26,275.82,1587.27,746.05,0.01,468.72,274.16,1855.12,653.11,0.84,376,"sob ","Sobei ","Austronesian ","Pacific ","North New Guinea ","-1.917, 138.75"
"son","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",377,"Kullo",543000,6.75,37.08,101106,101,1258,228,917,1300,102,1597.41,207.19,923.27,1374.14,112.24,1289.94,221.98,1034.2,940.56,47.1,377,"sov ","Sonsorol ","Austronesian ","Pacific ","Pacific ","4.5, 132.083"
"sud","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",378,"Kunama",194430,14.5,37,172105,172,1004,258,1881,666,0,807.42,269.39,1923.14,608.14,0.2,902.36,257.34,2237,562.41,12.19,378,"tgo ","Sudest ","Austronesian ","Pacific ","South New Guinea ","-11.5, 153.5"
"tah","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",379,"Lango",1490000,2.17,33,172101,172,1110,232,1047,1360,103,1062.88,235.89,993.37,1287.08,100.04,1025.86,235.33,803.13,1062,99.91,379,"tah ","Tahitian ","Austronesian ","Pacific ","Pacific ","-17.667, -149"
"taf","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",380,"Latvian",1272650,57,24,145109,145,11,64,7903,651,95,26.74,62.29,7988.39,641.09,95.25,91.8,57.7,8171.28,646.75,100.52,380,"sps ","Taiof ","Austronesian ","Pacific ","Pacific ","-5.583, 154.583"
"tak","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",381,"Lelemi",48900,7.33,0.5,171102,171,344,258,1115,1569,103,225.43,264.98,1138.83,1370.74,79.17,213.02,268.64,1351.86,1215.13,48.2,381,"tbc ","Takia ","Austronesian ","Pacific ","North New Guinea ","-4.75, 146"
"taw","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",382,"Luo",4184000,-0.5,34.75,172101,172,1413,210,652,1541,247,1518.21,203.75,655.89,1377.15,215.65,1247.02,216.93,823.92,954.07,76.82,382,"tbo ","Tawala ","Austronesian ","Pacific ","South New Guinea ","-10.333, 150.5"
"teo","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",383,"Luvale",632000,-12,22,171101,171,1083,203,1757,1256,2,1092.69,204.12,1779.36,1256.16,2.26,1162.98,212.89,1787.64,1214.56,3.72,383,"tio ","Teop ","Austronesian ","Pacific ","Pacific ","-5.667, 155.083"
"tgk","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",384,"Maasai",1297000,-3,36,172101,172,1288,206,1388,642,8,1407.09,199.53,1367.78,716.41,14.45,1151.74,217.6,1136.47,872.78,53.61,384,"tgc ","Tigak ","Austronesian ","Pacific ","North New Guinea ","-2.75, 150.917"
"tin","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",385,"Maba",296000,13.75,20.83,172106,172,520,290,2473,420,0,548.91,286.54,2456.63,404.17,0,560.42,274.31,2818.18,408.29,0.06,385,"cir ","Tiri ","Austronesian ","Pacific ","Pacific ","-21.667, 165.75"
"tbt","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",386,"Margi",158000,11,13,101111,101,443,254,2081,814,0,464.17,254,2154.34,809.12,0.13,412.01,266.79,2411.88,772.22,0.71,386,"tti ","Tobati ","Austronesian ","Pacific ","North New Guinea ","-2.583, 140.867"
"tke","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",387,"Mazahua",74000,19.42,-99.92,178106,178,2624,134,1839,898,47,2285.64,158.99,1745.59,999.34,35.05,1386.24,203.58,2197.76,986.7,39.93,387,"tkl ","Tokelauan ","Austronesian ","Pacific ","Pacific ","-9, -172.5"
"tla","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",388,"Mbum",51100,7.75,13.17,171120,171,745,240,1288,1485,1,793.29,238.31,1277.68,1473.4,2.56,591.52,251.87,1432.18,1290.18,20.09,388,"ksd ","Kuanua ","Austronesian ","Pacific ","North New Guinea ","-4.4, 152.167"
"tng","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",389,"Meithei",1485000,24.75,94,189101,189,790,210,3614,1636,45,914.75,204.05,3620.37,1945.77,52.44,708.3,216.24,3798.07,2123.32,38.86,389,"ton ","Tongan ","Austronesian ","Pacific ","Pacific ","-21.167, -175.25"
"tnk","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",392,"Muinane",150,-1,-72.5,144101,144,178,264,624,2847,478,175.56,263.58,615.57,2840.87,487.17,181.59,259.84,551.67,2887.86,489.36,392,"lcm ","Tungak ","Austronesian ","Pacific ","North New Guinea ","-2, 152"
"tvl","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",393,"Murle",60000,6.5,33.5,172116,172,419,274,1168,935,36,431.15,273.12,1155.49,931.33,34.89,781.8,254.32,1137.29,983.86,38.21,393,"tvl ","Tuvalu ","Austronesian ","Pacific ","Pacific ","-10, 180"
"ura","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",394,"Nandi",949000,0.25,35,172101,172,1765,190,730,1824,244,1704.13,193.65,664.1,1417.77,196.47,1174.12,222.32,820.46,913.04,77.38,394,"uur ","Ura ","Austronesian ","Pacific ","Pacific ","-18.8, 168.833"
"wol","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",395,"Navajo",171000,36.17,-108,168101,168,1874,102,8664,228,35,1943.39,96.68,8499.38,265.76,40.06,2023.55,90.22,8009.12,370.73,51.95,395,"woe ","Woleaian ","Austronesian ","Pacific ","Pacific ","7.333, 143.833"
"ami","Austronesian","EastFormosan","CentralEastFormosan",396,"Ndyuka",33500,4.5,-54.5,177101,177,91,265,693,2476,275,119.34,261.05,637.79,2450.15,274.27,180.48,259.38,600.41,2352.52,217.05,396,"ami ","Amis ","Austronesian ","Pacific ","Southeast Asia ","23.333, 121.333"
"pai","Austronesian","Paiwan","Paiwan",397,"Nara(Ethiopia)",81400,15.08,37.58,172107,172,1029,250,1534,560,0,887.46,265.58,1888.81,506.14,2.23,873.61,259.4,2324.66,504.41,12.34,397,"pwn ","Paiwan ","Austronesian ","Pacific ","Southeast Asia ","22.333, 120.833"
"pal","Austronesian","Malayo-Polynesian","Palauan",398,"Ngizim",80000,12.08,10.92,101108,101,364,256,2961,641,0,380.26,257.96,2924.99,631.58,0,418.75,265.62,2702.35,646.74,0.57,398,"pau ","Palauan ","Austronesian ","Pacific ","Pacific ","7.167, 134.5"
"amq","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",400,"Nkore-Kiga",1580000,-0.92,29.83,171101,171,1828,177,222,1243,163,1559.41,194.95,268.94,1173.45,154.25,1092.99,221.91,491.71,1436.87,151.15,400,"amk ","Ambai ","Austronesian ","Pacific ","North New Guinea ","-1.917, 136.733"
"bik","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",401,"Norwegian",4741780,61,8,145106,145,1517,-27,6198,1187,208,1198.7,-9.75,6410.37,1100.16,183.74,588.1,28.39,6232.48,1218.92,195.24,401,"bhw ","Biak ","Austronesian ","Pacific ","North New Guinea ","-1, 136"
"bui","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",402,"Nobiin",605000,21,31,172108,172,319,260,5994,2,0,305.93,261.19,5977.53,2.76,0,350.24,261.4,5635.22,12.45,0,402,"bzq ","Buli ","Austronesian ","Pacific ","Pacific ","0.833, 128.5"
"irr","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",403,"Nyah(Kur)Tha Pong",1500,15.67,101.67,111105,111,244,266,1957,1128,29,270.85,264.86,2007.39,1124.54,28.81,288.77,259.15,1964.86,1617.27,29.21,403,"irh ","Irarutu ","Austronesian ","Pacific ","North New Guinea ","-3, 133.5"
"mor","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",404,"Nyangi",20,3.42,33.58,172103,172,1203,229,1127,930,56,1198.71,229.94,1099.18,918.62,52.79,896.9,244.66,911.16,960.62,76.28,404,"mhz ","Mor ","Austronesian ","Pacific ","North New Guinea ","-2.917, 135.75"
"tab","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",405,"Ocaina",194,-2.75,-71.75,144102,144,133,260,444,2881,594,126.03,260.21,449.21,2903.23,592.04,149.6,259.49,467.69,2815.65,491.44,405,"mky ","Taba ","Austronesian ","Pacific ","Pacific ","0.333, 127.583"
"tbo","Austronesian","Malayo-Polynesian","Philippine",406,"Ogbia",200000,4.67,6.25,171111,171,18,267,860,3160,192,14.34,266.46,879.24,2999.93,171.07,196.33,261.87,1115.12,1955.38,75.42,406,"tbl ","Tboli ","Austronesian ","Pacific ","Pacific ","6.167, 124.5"
"mwb","Austronesian","Malayo-Polynesian","Philippine",407,"Oneida",192,43,-75.67,146102,146,446,64,9300,1123,231,351.92,69.26,9345.79,1098.31,223.59,275.17,71.81,9573.03,1019.13,208.77,407,"mbb ","Manobo_Western Bukidnon ","Austronesian ","Pacific ","Pacific ","7.667, 124.833"
